"Urun_Ad",Marka,Seri,"Urun_URL",SSD,"Islemci_Turu","Islemci_Nesli","Islemci_Modeli","Islemci_Cekirdek_Sayisi","Islemci_Hizi","Ekran_Kart","Ekran_Karti_Modeli","Ekran_Karti_Tipi","Ekran_Karti_Hafizasi",RAM,"RAM_Frekans","Ram_Turu","Cozunurluk_Format","Ekran_Boyutu","Ekran_Cozunurlugu","Ekran_Yenileme_Hizi","Panel_Tipi","Isletim_Sistemi",Agirlik,"Pil_Gucu",Fiyat
"Lenovo ThinkBook 16P G3 21EK0029TX Ryzen 7 6800H 16 GB 512 GB SSD RTX3060 16"" WQXGA Notebook",Lenovo,"Lenovo ThinkBook","https//www.akakce.com/laptop-notebook/en-ucuz-lenovo-thinkbook-16p-21ek0029tx-ryzen-7-6800h-16-gb-512-gb-ssd-rtx3060-16-notebook-fiyati,233716533.html","512 GB","AMD Ryzen 7",,6800H,8,"3.20 GHz",NVIDIA,"RTX 3060",Harici,"6 GB","16 GB","3200 MHz",DDR4,"Full HD","16 inç","2560x1600 px","144 Hz",IPS,"Free Dos",,"60 Wh","62.999"
"MacBook Pro M2 Pro 16 GB 1 TB SSD 16"" Notebook",MacBook,"Macbook Pro","https//www.akakce.com/laptop-notebook/en-ucuz-macbook-pro-m2-pro-16-gb-1-tb-ssd-16-notebook-fiyati,247807913.html","1 TB","Apple M2",,"Apple M2 Pro",12,,,,"Paylaşımlı","6 GB","16 GB","3200 MHz",DDR4,"Full HD","16 inç","1920x1080 px","144 Hz",IPS,macOS,,"100 Wh","102.799"
"Asus VivoBook 15 X1502ZA-EJ922 i5-1235U 8 GB 256 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Asus,"Asus Vivobook","https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-15-x1502za-ej922-i5-1235u-8-gb-256-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,267892925.html","256 GB","Intel Core i5","12. Nesil","i5-1235U",10,"3.3 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","8 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos","1.7","42 Wh","18.899"
"Asus Vivobook X1502ZA-EJ106602 i5-1235U 24 GB 1 TB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Asus,"Asus Vivobook","https//www.akakce.com/laptop-notebook/en-ucuz-asus-vivobook-x1502za-ej106602-i5-1235u-24-gb-1-tb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,271112150.html","1 TB","Intel Core i5","12. Nesil","i5-1235U",10,"3.3 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","24 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos",,"42 Wh","22.115"
"HP 15-FD0006NT 86N54EA i5-1335U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD Notebook",HP,"HP 15-FD0006NT","https//www.akakce.com/laptop-notebook/en-ucuz-hp-15-fd0006nt-86n54ea-i5-1335u-16-gb-512-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,293975206.html","512 GB","Intel Core i5","13. Nesil","i5-1335U",10,"3.40 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Windows 11 Home","1.59","60 Wh","29.999"
"Lenovo V15 G3 IAP 82TT00H8TX i3-1215U 8 GB 256 GB SSD UHD Graphics 15.6"" Full HD Notebook",Lenovo,"Lenovo V15","https//www.akakce.com/laptop-notebook/en-ucuz-lenovo-v15-g3-iap-82tt00h8tx-i3-1215u-8-gb-256-gb-ssd-uhd-graphics-15-6-full-hd-notebook-fiyati,320620568.html","256 GB","Intel Core i3","12. Nesil","i3-1215U",6,"3.3 GHz",Intel,"UHD Graphics","Paylaşımlı","6 GB","8 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",TN,"Free Dos","1.7","38 Wh","13.710"
"MacBook Pro M3 Pro 36 GB 512 GB SSD 16.2"" MRW23TU/A Uzay Siyahı",MacBook,"Macbook Pro","https//www.akakce.com/laptop-notebook/en-ucuz-macbook-pro-m3-pro-36-gb-512-gb-ssd-16-2-mrw23tu-a-uzay-siyahi-fiyati,351385043.html","512 GB","Apple M3",,"Apple  M3 Pro",12,,,,"Paylaşımlı","6 GB","36 GB","3200 MHz",DDR4,"Full HD","16.2 inç","3456x2234 px","144 Hz",IPS,macOS,,"100 Wh","108.999"
"MacBook Pro M3 Max 36 GB 1 TB SSD 16.2"" MRW33TU/A Uzay Siyahı",MacBook,"Macbook Pro","https//www.akakce.com/laptop-notebook/en-ucuz-macbook-pro-m3-max-36-gb-1-tb-ssd-16-2-mrw33tu-a-uzay-siyahi-fiyati,351593298.html","1 TB","Apple M3",,"Apple M3 Max",14,,,,"Paylaşımlı","6 GB","36 GB","3200 MHz",DDR4,"Full HD","16.2 inç","3456x2234 px","144 Hz",IPS,macOS,,"100 Wh","137.800"
"HP EliteBook 845 G9 5Z6L9EA Ryzen 5 6600U 8 GB 256 GB SSD Radeon Graphics 14"" WUXGA Notebook",HP,"HP Elitebook","https//www.akakce.com/laptop-notebook/en-ucuz-hp-elitebook-845-g9-5z6l9ea-ryzen-5-6600u-8-gb-256-gb-ssd-radeon-graphics-14-wuxga-notebook-fiyati,353718002.html","256 GB","AMD Ryzen 5",,6600U,6,"2.90 GHz",AMD,"Radeon Graphics","Paylaşımlı","6 GB","8 GB","4800 MHz",DDR5,WUXGA,"14 inç","1920x1200 px","144 Hz",IPS,"Windows 11 Professional","1.4","60 Wh","28.614"
"HP ProBook 440 G10 85C59EA i5-1335U 16 GB 512 GB SSD Iris Xe Graphics 14"" Full HD Notebook",HP,"HP ProBook","https//www.akakce.com/laptop-notebook/en-ucuz-hp-probook-440-g10-85c59ea-i5-1335u-16-gb-512-gb-ssd-iris-xe-graphics-14-full-hd-notebook-fiyati,354459706.html","512 GB","Intel Core i5","13. Nesil","i5-1335U",10,"3.40 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","16 GB","3200 MHz",DDR4,"Full HD","14 inç","1920x1080 px","144 Hz",IPS,"Free Dos","1.38","60 Wh","33.532"
"Casper Nirvana C550.1255-BF00A-G-F i7-1255U 16 GB 1 TB SSD Iris Xe Graphics 15.6"" Full HD Notebook",Casper,"Casper Nirvana","https//www.akakce.com/laptop-notebook/en-ucuz-casper-nirvana-c550-1255-bf00a-g-f-i7-1255u-16-gb-1-tb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati,383917240.html","1 TB","Intel Core i7","12. Nesil","i7-1255U",10,"3.50 GHz",Intel,"Iris Xe Graphics","Paylaşımlı","6 GB","16 GB","3200 MHz",DDR4,"Full HD","15.6 inç","1920x1080 px","144 Hz",IPS,"Free Dos","1.8","45.60 Wh","26.899"
